Tarih,MEVDUAT BANKALARI,KALKINMA VE YATIRIM BANKALARI,KATILIM BANKALARI,TOPLAM
2025,5.325.390.112.000,20.883.650.000,144.611.027.000,5.346.273.762.000
2024,3.760.552.984.000,12.618.071.000,102.788.740.000,3.773.171.055.000
2023,2.603.318.172.000,9.505.980.000,88.381.961.000,2.612.824.152.000
2022,1.471.300.096.000,7.457.162.000,52.072.827.000,1.478.757.258.000
2021,941.812.909.000,6.310.620.000,35.714.196.000,948.123.529.000
2020,781.706.996.000,4.417.917.000,32.742.951.000,786.124.913.000
2019,562.995.210.000,2.501.188.000,17.614.908.000,565.496.398.000
2018,487.509.605.000,1.878.789.000,15.209.480.000,489.388.394.000
2017,471.307.676.000,2.074.364.000,15.599.708.000,473.382.040.000
2016,404.363.312.000,1.764.428.000,14.081.290.000,406.127.740.000
2015,368.246.642.000,1.364.768.000,15.282.083.000,369.611.410.000
2014,341.305.729.000,1.401.098.000,13.448.069.000,342.706.827.000
2013,318.096.923.000,1.715.884.000,12.181.902.000,319.812.807.000
2012,256.285.277.000,800.225.000,8.878.060.000,257.085.502.000
2011,216.562.598.000,773.187.000,6.591.434.000,217.335.785.000
2010,167.876.337.000,350.521.000,4.523.183.000,168.226.858.000
2009,126.318.028.000,251.198.000,3.193.241.000,126.569.226.000
2008,114.342.351.000,248.102.000,2.457.752.000,114.590.453.000
2007,92.287.258.000,199.720.000,2.176.419.000,92.486.978.000
