Sehir,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Muğla,"73.338,90","66.013,88","52.135,45","26.984,45","9.786,85","5.838,78","4.310,15","3.917,80","3.357,43","2.901,70","2.423,68","1.922,95","1.615,48","1.298,75","1.237,25","1.162,38"
İstanbul,"64.257,53","50.985,35","41.829,90","22.533,75","7.998,98","5.993,80","5.081,25","5.273,73","5.145,05","4.672,23","3.961,03","3.069,90","2.483,05","2.045,28","1.797,78","1.614,53"
Antalya,"45.976,50","38.329,00","31.627,68","15.732,48","5.250,23","3.563,75","2.619,15","2.384,23","2.144,75","1.952,93","1.726,88","1.428,80","1.232,60","1.092,95","992,35","903,73"
İzmir,"44.261,87","37.367,70","28.216,35","14.078,20","5.456,00","3.926,25","3.160,15","3.099,50","2.627,88","2.210,60","1.903,23","1.631,15","1.433,38","1.287,75","1.140,58","1.028,83"
Çanakkale,"42.205,17","31.875,00","21.739,13","10.602,38","4.040,13","2.954,50","2.392,38","2.299,50","2.060,25","1.726,63","1.374,50","1.160,25","1.032,13","968,00","902,50","852,50"
Aydın,"40.785,50","33.711,10","24.745,93","11.991,70","4.274,00","2.899,98","2.271,15","2.073,28","1.845,48","1.556,60","1.284,80","1.090,88","972,68","910,00","864,00","813,50"
Balıkesir,"38.846,80","31.228,10","22.798,15","10.670,68","4.285,73","2.994,58","2.425,33","2.240,30","1.933,80","1.610,20","1.319,25","1.136,50","1.033,75","966,25","898,75","864,50"
Edirne,"36.624,20","29.372,88","20.748,28","8.797,50","3.837,25","2.942,58","2.270,70","2.001,15","1.554,20","1.292,50","1.109,63","1.020,75","985,25","922,88","831,00","771,25"
Ankara,"35.842,07","27.324,10","19.376,63","9.549,98","3.548,58","2.653,45","2.162,40","2.041,28","1.899,68","1.756,63","1.597,13","1.398,68","1.242,40","1.127,88","1.040,00","954,13"
Kırklareli,"34.943,63","27.599,73","18.284,30","7.609,33","3.095,10","2.366,65","1.898,65","1.851,28","1.592,35","1.339,38","1.104,38","949,00","880,25","815,50","743,38","667,38"
Bartın,"34.929,17","27.914,00","19.452,75","8.990,88","3.739,50","2.810,00","2.196,13","1.995,75","1.757,38","1.597,00","1.441,13","1.243,88","1.105,25","1.037,75","946,25","858,25"
Kocaeli,"34.086,67","26.539,48","18.675,38","8.405,38","3.275,93","2.586,43","2.165,40","2.086,65","1.916,08","1.628,93","1.369,55","1.169,18","1.067,40","997,58","952,43","891,98"
Tekirdağ,"33.818,50","26.604,18","18.622,28","8.592,90","3.215,80","2.516,43","2.111,08","2.098,80","1.766,05","1.481,48","1.206,63","982,93","947,20","880,58","805,25","743,13"
Denizli,"33.409,43","25.845,75","18.177,48","8.252,08","3.479,03","2.623,35","2.117,75","2.093,48","1.828,00","1.573,85","1.342,35","1.093,88","926,88","807,00","718,25","656,75"
Yalova,"33.031,00","27.000,25","18.909,75","9.131,75","3.552,75","2.671,13","2.341,13","2.196,88","2.067,00","1.967,00","1.624,25","1.226,75","1.107,13","1.002,25","936,88","864,13"
Sakarya,"32.870,67","26.159,00","18.218,00","8.378,00","3.329,50","2.360,50","2.084,93","2.028,58","1.892,50","1.621,33","1.257,45","1.125,38","1.018,25","921,88","855,25","818,00"
