Tarih,TOPLAM,Adana,Adıyaman,Afyonkarahisar,Ağrı,Aksaray,Amasya,Ankara,Antalya,Ardahan,Artvin,Aydın,Balıkesir,Bartın,Batman,Bayburt,Bilecik,Bingöl,Bitlis,Bolu,Burdur,Bursa,Çanakkale,Çankırı,Çorum,Denizli,Diyarbakır,Düzce,Edirne,Elazığ,Erzincan,Erzurum,Eskişehir,Gaziantep,Giresun,Gümüşhane,Hakkari,Hatay,Iğdır,Isparta,İstanbul,İzmir,Kahramanmaraş,Karabük,Karaman,Kars,Kastamonu,Kayseri,Kırıkkale,Kırklareli,Kırşehir,Kilis,Kocaeli,Konya,Kütahya,Malatya,Manisa,Mardin,Mersin,Muğla,Muş,Nevşehir,Niğde,Ordu,Osmaniye,Rize,Sakarya,Samsun,Siirt,Sinop,Sivas,Şanlıurfa,Şırnak,Tekirdağ,Tokat,Trabzon,Tunceli,Uşak,Van,Yalova,Yozgat,Zonguldak
2025,207.519,5.101,371,1.244,276,624,887,26.147,8.376,65,366,3.380,3.660,519,900,67,564,84,260,931,371,8.209,1.612,295,1.246,3.653,2.943,1.093,1.004,778,453,1.177,4.150,5.236,980,114,63,1.084,220,744,41.404,13.919,1.195,514,281,449,695,4.609,1.090,977,493,272,6.743,3.207,957,552,3.980,671,5.362,2.457,186,401,499,1.621,823,341,2.645,3.880,319,401,1.110,2.013,111,7.011,980,1.047,102,864,1.179,1.076,486,1.350
2024,158.486,3.621,204,816,197,423,703,22.517,5.532,47,267,2.530,2.982,447,628,42,413,78,177,767,235,6.842,1.286,229,798,3.153,2.559,905,647,617,349,1.072,3.299,3.743,676,84,27,583,141,553,31.809,10.449,789,384,186,372,500,3.586,937,663,330,205,5.100,2.323,750,323,3.673,395,3.648,1.630,152,241,394,1.186,550,225,1.908,3.015,285,254,685,1.236,69,5.138,732,762,74,575,691,760,364,949
2023,177.748,2.146,191,1.347,255,721,1.076,26.150,4.897,53,393,3.363,3.783,398,720,84,642,203,445,939,375,7.398,1.627,305,1.309,3.544,1.882,1.144,1.050,1.034,520,1.964,4.415,2.647,1.165,140,38,454,252,950,30.546,10.069,568,571,337,469,782,4.316,1.512,1.182,596,293,5.863,3.480,1.052,270,3.749,590,3.489,2.188,179,373,535,1.889,403,477,3.043,3.883,353,385,1.146,1.060,84,5.546,936,1.132,89,848,835,778,727,1.106
2022,280.320,5.512,1.608,2.100,421,953,1.363,31.960,8.417,136,511,5.563,5.884,588,1.181,126,1.123,205,766,1.262,653,11.102,2.423,506,2.130,4.818,3.331,1.756,1.971,1.609,823,2.384,5.917,5.263,1.791,185,61,4.066,369,1.507,48.113,17.182,3.275,966,525,812,1.381,5.704,2.101,2.021,787,589,9.097,4.577,1.639,2.258,6.090,1.147,6.028,3.566,285,638,949,2.666,1.939,829,4.263,4.954,624,657,1.589,2.469,129,7.941,1.540,1.658,164,1.278,1.406,1.266,1.029,1.845
2021,294.530,6.608,1.309,1.684,338,820,1.108,36.872,10.837,89,442,5.983,6.245,646,791,82,1.041,148,390,1.172,522,11.582,2.400,441,1.744,4.329,3.919,1.307,1.768,1.044,530,1.754,4.596,6.269,1.300,144,24,3.713,361,974,61.490,19.570,2.650,743,476,659,1.120,5.263,1.155,1.790,643,468,8.741,4.584,1.287,2.090,5.962,983,7.939,4.358,148,561,916,2.302,1.394,606,3.997,4.263,432,655,1.342,2.765,73,9.222,1.418,1.390,170,981,964,1.310,849,1.475
2020,573.337,14.933,2.357,3.609,632,2.345,2.176,73.426,19.759,69,1.000,11.855,10.975,1.143,1.375,167,1.729,308,637,2.364,1.292,23.400,4.807,948,3.563,8.224,6.497,2.742,3.375,2.975,1.148,3.475,8.880,12.237,3.019,452,27,8.164,781,2.129,104.170,40.676,4.781,1.769,1.231,1.016,2.636,11.421,2.506,3.626,1.598,732,16.099,11.285,2.802,4.365,10.885,1.998,16.902,8.045,382,1.101,2.238,5.061,2.437,1.540,7.334,9.722,734,1.475,3.735,5.411,180,15.020,2.880,3.996,282,2.378,2.237,2.652,1.852,3.153
2019,332.508,9.433,1.668,2.004,386,1.149,1.509,40.380,14.350,60,739,6.941,6.490,810,841,89,1.134,135,406,1.733,722,13.284,2.757,741,2.096,4.879,5.243,1.502,1.910,1.682,669,1.909,5.705,7.887,1.723,258,19,4.984,397,1.194,55.819,22.833,3.760,1.038,687,679,1.688,6.361,1.574,2.035,854,414,8.276,5.823,1.796,2.587,8.189,1.425,8.845,4.698,171,663,1.315,2.812,1.833,914,3.699,5.591,498,867,2.076,3.283,85,8.090,1.836,2.084,204,1.428,1.471,1.238,1.039,2.112
2018,276.820,7.413,1.279,1.741,323,955,1.328,31.847,11.177,34,535,6.164,5.080,878,619,66,1.059,141,276,1.311,706,11.322,2.613,579,1.821,4.366,3.716,1.558,1.496,1.403,512,1.740,4.771,5.950,1.440,186,21,4.277,265,909,49.206,17.897,2.901,1.001,602,522,1.423,4.877,1.204,1.791,677,326,7.959,5.135,1.630,1.964,6.208,1.045,7.174,3.739,163,458,1.213,2.499,1.550,713,3.778,4.922,356,789,1.797,2.441,65,7.621,1.370,1.753,162,1.552,964,1.083,809,1.604
2017,473.099,11.748,2.026,2.561,420,1.527,2.100,56.795,18.279,72,937,10.380,8.437,1.385,954,145,1.751,426,346,2.031,988,20.277,3.848,1.053,3.160,7.074,6.311,2.363,2.515,2.530,755,2.697,8.468,10.394,1.918,295,19,6.625,500,1.520,87.001,31.254,5.068,1.710,1.102,852,2.181,9.208,2.066,2.766,1.271,530,14.463,9.365,2.855,3.658,9.959,1.783,12.194,5.887,253,854,1.950,3.440,2.591,1.276,6.402,7.839,639,1.142,3.378,4.507,55,12.992,2.301,2.959,354,2.182,1.310,1.741,1.492,2.639
2016,449.508,10.099,1.933,2.314,420,1.458,1.936,57.073,18.112,97,844,9.586,8.082,1.187,920,140,1.538,217,335,2.065,901,19.477,3.975,987,2.934,6.115,5.381,2.138,2.640,2.196,721,2.191,7.794,8.276,1.821,246,10,5.972,486,1.373,87.350,30.358,4.333,1.632,1.054,816,1.780,8.742,1.710,2.770,1.140,431,12.961,8.699,2.486,3.834,8.937,1.489,11.918,5.380,239,735,1.556,3.293,2.053,1.185,6.444,7.089,520,1.156,2.857,4.027,35,13.160,2.127,3.084,325,1.641,1.009,1.434,1.341,2.388
2015,434.388,9.053,1.475,1.892,439,1.233,1.736,57.609,19.371,65,736,8.312,7.643,1.023,746,132,1.542,80,238,1.943,856,17.645,3.668,837,2.839,5.754,5.208,1.842,2.846,2.292,718,1.898,7.174,7.650,1.723,195,19,5.627,424,1.212,93.564,28.701,3.411,1.615,872,691,1.767,8.078,1.662,2.334,1.063,593,12.484,8.042,2.341,3.494,7.621,1.343,12.124,5.171,140,714,1.463,3.135,1.842,1.033,5.401,6.137,525,957,2.111,4.027,80,11.475,2.004,3.056,232,1.229,772,1.684,1.244,2.461
2014,389.689,8.079,1.526,1.668,335,1.104,1.586,49.915,18.296,49,522,7.060,6.828,670,737,76,1.454,39,208,1.698,611,15.230,3.148,860,2.690,4.912,4.525,1.454,2.164,2.104,616,1.916,6.206,6.714,1.541,173,9,4.621,419,1.080,87.757,26.648,3.136,1.363,730,569,1.560,7.007,1.305,2.088,1.103,508,11.320,7.374,1.996,3.344,6.387,888,10.606,4.753,113,609,1.187,2.662,1.886,983,5.172,5.686,511,840,1.636,3.499,64,10.348,1.818,2.763,309,1.089,651,1.739,954,1.885
2013,460.112,9.555,1.466,1.751,352,1.420,1.714,61.994,21.279,63,646,8.001,7.593,679,873,116,1.462,21,307,1.987,598,17.682,3.444,856,3.234,6.094,5.372,1.401,2.653,2.472,890,1.975,7.587,7.879,1.635,177,12,5.498,232,1.116,106.977,32.207,3.620,1.186,875,579,1.653,8.235,1.501,2.272,1.292,418,12.729,9.406,2.111,4.245,7.237,978,12.895,5.250,151,775,1.341,2.984,1.962,1.059,5.469,7.188,450,856,1.956,3.475,65,11.444,2.044,3.233,512,1.121,681,2.035,1.261,2.298
